player_id,team_id,name,position,dob,height_cm,weight_kg,debut_year,status
80,16,Tom Papley,Forward,1997-04-15,178,78,2016,Active
81,17,Luke Shuey,Midfielder,1991-07-05,184,87,2010,Active
82,17,Tim Kelly,Midfielder,1994-01-13,185,85,2018,Active
83,17,Josh Kennedy,Forward,1988-06-20,198,104,2009,Active
84,17,Shannon Hurn,Defender,1987-09-13,185,88,2007,Active
85,17,Jamie Cripps,Forward,1993-10-04,179,82,2013,Active
86,18,Marcus Bontempelli,Midfielder,1995-11-24,193,95,2014,Active
87,18,Adam Treloar,Midfielder,1993-03-30,183,84,2013,Active
88,18,Josh Bruce,Forward,1993-01-03,200,104,2012,Active
89,18,Jack Macrae,Midfielder,1993-08-20,187,90,2014,Active
90,18,Bailey Smith,Midfielder,2000-02-19,185,87,2019,Active
