stat_id,fixture_id,team_id,is_home,score,goals,behinds,shots_at_goal,disposals,kicks,handballs,marks,tackles,hitouts,clearances,inside_50s,rebound_50s,contested_possessions,uncontested_possessions,metres_gained,turnovers,free_kicks_for,free_kicks_against
67,34,9,1,85,11,19,30,355,190,165,108,75,44,42,46,35,140,215,4800,64,20,26
68,34,14,0,98,14,2,16,372,198,174,114,80,46,46,52,31,152,220,4980,59,24,22
69,35,10,1,93,13,6,19,365,194,171,112,80,44,44,50,32,145,220,4880,62,22,24
70,35,13,0,87,12,15,27,358,192,166,110,76,42,42,46,34,140,218,4830,64,20,26
71,36,11,1,114,16,18,34,382,204,178,120,86,46,52,58,30,158,224,5200,55,27,19
72,36,12,0,110,15,20,35,375,200,175,118,82,44,48,54,31,152,223,5050,58,25,21
73,37,1,1,119,17,16,33,385,208,177,122,88,40,52,60,30,160,225,5250,54,28,18
74,37,2,0,105,14,19,33,372,198,174,116,82,44,46,52,31,152,220,4980,59,24,22
75,38,3,1,84,12,12,24,355,190,165,108,74,40,42,46,35,138,217,4800,64,20,26
76,38,18,0,99,14,3,17,370,196,174,112,82,42,44,50,32,148,222,4940,61,23,23
77,39,4,1,89,12,17,29,358,192,166,110,76,40,42,46,35,138,218,4820,64,20,26
78,39,17,0,108,15,13,28,378,202,176,118,84,44,50,55,30,156,222,5100,56,26,20
79,40,5,1,120,17,7,24,390,210,180,124,88,44,54,60,29,162,228,5300,53,28,18
80,40,16,0,110,15,20,35,375,200,175,118,82,44,48,54,31,152,223,5050,58,25,21
81,41,6,1,103,14,19,33,368,196,172,114,80,42,46,50,32,148,220,4940,61,23,23
82,41,15,0,121,17,10,27,388,208,180,122,86,44,52,58,30,160,228,5250,53,27,19
83,42,7,1,109,16,13,29,382,205,177,120,86,48,52,57,30,158,224,5200,55,27,19
84,42,14,0,116,16,20,36,382,204,178,120,84,44,50,56,30,158,224,5200,55,27,19
85,43,8,1,103,15,13,28,372,198,174,114,82,50,46,52,31,152,220,4980,59,24,22
86,43,13,0,82,11,16,27,348,186,162,108,72,38,40,42,36,132,216,4720,67,18,28
87,44,9,1,110,16,14,30,380,204,176,120,84,44,50,56,30,156,224,5150,56,26,20
88,44,12,0,101,14,5,19,368,196,172,112,80,42,44,50,32,146,222,4920,61,23,23
89,45,10,1,108,15,13,28,375,200,175,118,82,44,48,54,31,152,223,5050,58,25,21
90,45,11,0,125,18,11,29,390,210,180,124,90,48,56,62,28,162,228,5350,52,30,16
